Data,Taxa Selic - a.a.,Taxa Cambio u.m.c./US$,CDS,Itau,RETORNO_LOG_Itau,Petrobras,RETORNO_LOG_Petrobras,Vale Rio Doce,RETORNO_LOG_Vale Rio Doce,RETORNO_LOG_CAMBIO,RETORNO_LOG_CDS
2020-10-07,0.02,5.6018,224.85,15.83,-0.007552,5.86,-0.006803,36.6,0.026299,0.01462,-0.017633
2020-10-08,0.02,5.62,221.13,16.78,0.058281,6.06,0.03356,37.28,0.018409,0.003244,-0.016683
2020-10-09,0.02,5.5393,213.87,16.74,-0.002387,5.87,-0.031855,37.47,0.005084,-0.014464,-0.033382
2020-10-13,0.02,5.5859,216.48,16.58,-0.009604,5.96,0.015216,37.79,0.008504,0.008377,0.01213
2020-10-14,0.02,5.5675,220.32,16.53,-0.00302,5.92,-0.006734,38.32,0.013927,-0.003299,0.017583
2020-10-15,0.02,5.6172,221.2,16.38,-0.009116,5.85,-0.011895,37.99,-0.008649,0.008887,0.003986
2020-10-16,0.02,5.6226,217.11,16.11,-0.016621,5.73,-0.020726,37.85,-0.003692,0.000961,-0.018663
2020-10-19,0.02,5.6023,217.28,16.29,0.011111,5.78,0.008688,37.68,-0.004502,-0.003617,0.000783
2020-10-20,0.02,5.583,215.38,16.94,0.039126,5.98,0.034017,37.61,-0.001859,-0.003451,-0.008783
2020-10-21,0.02,5.6006,212.68,17.09,0.008816,5.97,-0.001674,38.23,0.016351,0.003147,-0.012615
2020-10-22,0.02,5.582,214.22,17.97,0.05021,6.17,0.032952,38.38,0.003916,-0.003327,0.007215
2020-10-23,0.02,5.612,209.65,17.74,-0.012882,6.09,-0.013051,38.59,0.005457,0.00536,-0.021564
2020-10-26,0.02,5.6328,212.26,17.87,0.007301,6.0,-0.014889,38.01,-0.015144,0.003699,0.012372
2020-10-27,0.02,5.6491,210.48,17.36,-0.028955,5.89,-0.018503,38.03,0.000526,0.00289,-0.008421
2020-10-28,0.02,5.7325,218.31,16.58,-0.045972,5.53,-0.063068,36.65,-0.036962,0.014655,0.036525
2020-10-29,0.02,5.7803,216.12,16.67,0.005414,5.71,0.032031,37.72,0.028777,0.008304,-0.010082
2020-10-30,0.02,5.7718,215.33,16.37,-0.01816,5.61,-0.017668,36.83,-0.023878,-0.001472,-0.003662
2020-11-03,0.02,5.6895,209.43,16.77,0.024141,5.82,0.03675,38.52,0.044865,-0.014362,-0.027782
2020-11-04,0.02,5.6932,203.68,17.44,0.039175,5.84,0.003431,37.45,-0.028171,0.00065,-0.027839
2020-11-05,0.02,5.5624,191.59,17.86,0.023797,5.89,0.008525,38.04,0.015632,-0.023243,-0.061192
2020-11-06,0.02,5.5313,186.94,17.83,-0.001681,5.85,-0.006814,38.43,0.0102,-0.005607,-0.02457
2020-11-09,0.02,5.2821,164.74,19.28,0.078186,6.4,0.089856,38.43,0.0,-0.046099,-0.126419
2020-11-10,0.02,5.3696,165.7,20.15,0.044136,6.84,0.06649,38.41,-0.000521,0.01643,0.00581
2020-11-12,0.02,5.4094,177.34,19.5,-0.03279,6.49,-0.052525,38.12,-0.007579,0.007385,0.06789
2020-11-13,0.02,5.4854,179.67,19.87,0.018797,6.7,0.031845,38.47,0.00914,0.013952,0.013053
2020-11-16,0.02,5.4198,175.44,20.56,0.034136,6.9,0.029414,39.48,0.025915,-0.012031,-0.023825
2020-11-17,0.02,5.3968,176.21,20.58,0.000972,7.02,0.017242,40.73,0.031171,-0.004253,0.004379
2020-11-18,0.02,5.2932,173.02,20.07,-0.025094,6.98,-0.005714,40.42,-0.00764,-0.019383,-0.018269
2020-11-19,0.02,5.333,173.74,20.1,0.001494,7.06,0.011396,41.19,0.018871,0.007491,0.004153
2020-11-23,0.02,5.3828,171.67,20.17,0.003477,7.44,0.052426,43.36,0.051342,0.009295,-0.011986
2020-11-24,0.02,5.4037,167.08,20.73,0.027386,7.77,0.043399,45.49,0.047955,0.003875,-0.027101
2020-11-25,0.02,5.3508,166.36,20.49,-0.011645,7.78,0.001286,45.92,0.009408,-0.009838,-0.004319
2020-11-26,0.02,5.3201,166.37,20.05,-0.021708,7.65,-0.016851,46.57,0.014056,-0.005754,6e-05
2020-11-27,0.02,5.3494,163.86,20.21,0.007948,7.55,-0.013158,47.71,0.024184,0.005492,-0.015202
2020-11-30,0.02,5.3317,165.49,19.93,-0.013951,7.38,-0.022774,47.44,-0.005675,-0.003314,0.009898
2020-12-01,0.02,5.2789,155.96,20.77,0.041284,7.58,0.02674,49.42,0.040889,-0.009952,-0.059311
2020-12-02,0.02,5.2267,155.73,20.93,0.007674,7.68,0.013106,48.56,-0.017555,-0.009938,-0.001476
2020-12-03,0.02,5.1625,152.92,20.92,-0.000478,7.89,0.026977,48.02,-0.011183,-0.012359,-0.018209
2020-12-04,0.02,5.1706,151.93,21.13,0.009988,8.16,0.033648,49.86,0.037601,0.001568,-0.006495
2020-12-07,0.02,5.1018,154.34,21.25,0.005663,8.0,-0.019803,50.45,0.011764,-0.013395,0.015738
2020-12-08,0.02,5.092,154.22,21.2,-0.002356,7.9,-0.012579,50.42,-0.000595,-0.001923,-0.000778
2020-12-09,0.02,5.1109,154.62,21.32,0.005644,7.98,0.010076,50.3,-0.002383,0.003705,0.00259
2020-12-10,0.02,5.0852,153.47,22.03,0.03276,8.24,0.032062,51.7,0.027453,-0.005041,-0.007465
2020-12-11,0.02,5.0691,153.7,21.9,-0.005919,8.17,-0.008531,51.61,-0.001742,-0.003171,0.001498
