Data,Taxa Selic - a.a.,Taxa Cambio u.m.c./US$,CDS,Itau,Petrobras,Vale Rio Doce
2020-10-05,0.02,5.6299,231.25,15.92,5.93,36.24
2020-10-06,0.02,5.5205,228.85,15.95,5.9,35.65
2020-10-07,0.02,5.6018,224.85,15.83,5.86,36.6
2020-10-08,0.02,5.62,221.13,16.78,6.06,37.28
2020-10-09,0.02,5.5393,213.87,16.74,5.87,37.47
2020-10-13,0.02,5.5859,216.48,16.58,5.96,37.79
2020-10-14,0.02,5.5675,220.32,16.53,5.92,38.32
2020-10-15,0.02,5.6172,221.2,16.38,5.85,37.99
2020-10-16,0.02,5.6226,217.11,16.11,5.73,37.85
2020-10-19,0.02,5.6023,217.28,16.29,5.78,37.68
2020-10-20,0.02,5.583,215.38,16.94,5.98,37.61
2020-10-21,0.02,5.6006,212.68,17.09,5.97,38.23
2020-10-22,0.02,5.582,214.22,17.97,6.17,38.38
2020-10-23,0.02,5.612,209.65,17.74,6.09,38.59
2020-10-26,0.02,5.6328,212.26,17.87,6.0,38.01
2020-10-27,0.02,5.6491,210.48,17.36,5.89,38.03
2020-10-28,0.02,5.7325,218.31,16.58,5.53,36.65
2020-10-29,0.02,5.7803,216.12,16.67,5.71,37.72
2020-10-30,0.02,5.7718,215.33,16.37,5.61,36.83
2020-11-03,0.02,5.6895,209.43,16.77,5.82,38.52
2020-11-04,0.02,5.6932,203.68,17.44,5.84,37.45
2020-11-05,0.02,5.5624,191.59,17.86,5.89,38.04
2020-11-06,0.02,5.5313,186.94,17.83,5.85,38.43
2020-11-09,0.02,5.2821,164.74,19.28,6.4,38.43
2020-11-10,0.02,5.3696,165.7,20.15,6.84,38.41
2020-11-12,0.02,5.4094,177.34,19.5,6.49,38.12
2020-11-13,0.02,5.4854,179.67,19.87,6.7,38.47
2020-11-16,0.02,5.4198,175.44,20.56,6.9,39.48
2020-11-17,0.02,5.3968,176.21,20.58,7.02,40.73
2020-11-18,0.02,5.2932,173.02,20.07,6.98,40.42
2020-11-19,0.02,5.333,173.74,20.1,7.06,41.19
2020-11-23,0.02,5.3828,171.67,20.17,7.44,43.36
2020-11-24,0.02,5.4037,167.08,20.73,7.77,45.49
2020-11-25,0.02,5.3508,166.36,20.49,7.78,45.92
2020-11-26,0.02,5.3201,166.37,20.05,7.65,46.57
2020-11-27,0.02,5.3494,163.86,20.21,7.55,47.71
2020-11-30,0.02,5.3317,165.49,19.93,7.38,47.44
2020-12-01,0.02,5.2789,155.96,20.77,7.58,49.42
2020-12-02,0.02,5.2267,155.73,20.93,7.68,48.56
2020-12-03,0.02,5.1625,152.92,20.92,7.89,48.02
2020-12-04,0.02,5.1706,151.93,21.13,8.16,49.86
2020-12-07,0.02,5.1018,154.34,21.25,8.0,50.45
2020-12-08,0.02,5.092,154.22,21.2,7.9,50.42
2020-12-09,0.02,5.1109,154.62,21.32,7.98,50.3
2020-12-10,0.02,5.0852,153.47,22.03,8.24,51.7
2020-12-11,0.02,5.0691,153.7,21.9,8.17,51.61
2020-12-14,0.02,5.0578,150.42,21.6,8.18,50.82
2020-12-15,0.02,5.0968,149.23,21.8,8.25,51.39
2020-12-16,0.02,5.1057,148.73,22.21,8.35,52.44
2020-12-17,0.02,5.0612,146.86,22.18,8.37,53.04
2020-12-18,0.02,5.0986,148.76,22.15,8.32,53.4
2020-12-21,0.02,5.1572,150.62,21.76,8.0,52.83
2020-12-22,0.02,5.1473,149.27,21.86,8.08,52.88
2020-12-23,0.02,5.174,146.88,22.34,8.28,53.13
2020-12-28,0.02,5.239,144.1,22.5,8.35,53.1
2020-12-29,0.02,5.1942,142.48,22.46,8.37,52.96
2020-12-30,0.02,5.1967,142.23,22.13,8.4,53.19
2021-01-04,0.02,5.1626,140.98,21.63,8.56,55.63
2021-01-05,0.02,5.3269,146.4,21.49,8.9,56.56
2021-01-06,0.02,5.3182,146.89,22.12,8.92,58.42
2021-01-07,0.02,5.3433,151.74,22.98,9.18,62.23
2021-01-08,0.02,5.3683,155.0,22.97,9.22,62.04
2021-01-11,0.02,5.4966,160.36,22.45,9.14,62.03
2021-01-12,0.02,5.4637,161.44,22.52,9.07,60.33
2021-01-13,0.02,5.307,157.69,22.15,8.64,58.52
2021-01-14,0.02,5.2617,159.35,22.81,8.72,59.48
2021-01-15,0.02,5.2714,167.76,21.95,8.33,56.9
2021-01-18,0.02,5.2788,167.76,21.84,8.32,57.36
2021-01-19,0.02,5.2945,168.21,21.58,8.5,57.21
2021-01-20,0.02,5.3033,165.74,21.22,8.36,56.15
2021-01-21,0.02,5.3166,168.63,20.93,8.16,56.78
2021-01-22,0.02,5.4301,171.93,20.49,8.03,56.67
2021-01-26,0.02,5.3865,175.24,19.81,8.0,55.8
2021-01-27,0.02,5.3824,176.81,19.81,8.12,54.25
2021-01-28,0.02,5.4282,170.14,20.6,8.22,55.41
2021-01-29,0.02,5.4759,171.67,19.87,7.91,53.49
2021-02-01,0.02,5.4608,166.22,20.4,8.16,55.51
2021-02-02,0.02,5.3875,156.92,19.96,8.49,53.32
2021-02-03,0.02,5.3423,152.16,19.86,8.57,55.0
2021-02-04,0.02,5.391,149.16,19.78,8.54,54.31
2021-02-05,0.02,5.3884,147.62,19.7,8.54,56.37
2021-02-08,0.02,5.367,149.03,19.33,8.33,57.18
2021-02-09,0.02,5.4216,155.61,19.56,8.16,57.32
2021-02-10,0.02,5.4024,154.98,19.42,8.24,57.6
2021-02-11,0.02,5.3626,152.98,19.42,8.32,56.62
2021-02-12,0.02,5.3815,152.8,19.47,8.43,57.1
2021-02-17,0.02,5.4138,157.59,19.72,8.77,58.6
2021-02-18,0.02,5.4238,158.82,19.58,8.67,59.24
2021-02-19,0.02,5.3924,162.07,19.37,8.1,59.46
2021-02-22,0.02,5.5044,180.89,17.96,6.42,57.99
2021-02-23,0.02,5.449,175.63,19.11,7.13,58.97
2021-02-24,0.02,5.4182,170.73,18.83,7.23,59.56
2021-02-25,0.02,5.46,185.01,18.24,6.87,58.21
2021-02-26,0.02,5.5302,193.87,18.02,6.59,57.49
2021-03-01,0.02,5.5832,183.74,17.48,6.52,59.95
2021-03-02,0.02,5.6844,192.99,18.19,6.51,61.79
2021-03-03,0.02,5.7342,191.41,18.23,6.28,61.03
2021-03-04,0.02,5.6008,193.69,18.8,6.58,60.13
2021-03-05,0.02,5.687,194.22,19.5,6.63,63.69
2021-03-08,0.02,5.7343,212.29,18.88,6.25,63.35
2021-03-09,0.02,5.8397,211.61,19.14,6.4,62.72
2021-03-10,0.02,5.7449,208.78,19.28,6.62,61.75
2021-03-11,0.02,5.589,195.99,19.31,6.9,63.37
2021-03-12,0.02,5.564,198.6,19.18,6.86,61.91
2021-03-15,0.02,5.6296,200.18,19.41,7.01,61.54
2021-03-16,0.02,5.5851,198.0,19.02,6.9,61.34
2021-03-17,0.02,5.6579,193.84,19.76,7.13,62.23
2021-03-18,0.0275,5.5474,195.06,19.87,6.88,61.12
2021-03-19,0.0275,5.5082,190.08,19.91,7.11,60.24
